BEGIN|VIADUCT|ACCT|2020-03-18 10:10:38|2020-03-18 10:10:38
EFFECTIVE_DATE|MESSAGE_CENTRE_ENTITY_TYPE|MESSAGE_CENTRE_CHANGE_MODE|MC_DEF_PANEL_VAL_MODE|ENTITY_TYPE|ENTITY_CROSS_REFERENCE_TYPE|ENTITY_CROSS_REFERENCE_ID|ACCOUNT_STATUS|REPORTING_CURRENCY|BASE_CURRENCY|ENTITY_LONG_NAME|ENTITY_NAME|EFFECTIVE_MANAGEMENT_BASIS|ESTIMATED_ANNUAL_BILLING|NON_DISCRETIONARY_INDICATOR|PRODUCT|ENTITY_LEGAL_NAME|PRODUCT_DELIVERY|TRADING_FREQUENCY|LEGAL_STATUS|SETTLEMENT_DAYS|MANAGING_BUSINESS_OFFICE|MANAGING_COE|VEHICLE_TYPE|FUNDING_DATE|PERFORMANCE_INCEPTION_DATE|INCEPTION_DATE|TERMINATION_DATE|REPORTING_NAME|DEFAULT_DICTIONARY_CODE|DEFAULT_DICTIONARY_CODE_VALUE|DEFAULT_DICTIONARY_INTERFACE|IBOR_SYSTEM|SHADOW_FUND_INDICATOR|VOTING_AUTHORITY|PRODUCT_RANGE|ACCOUNT_FX_SOURCE|LEGAL_ENTITY_ID|ACCOUNT_PLAN_TYPE|CONTRACT_INCEPTION_DATE|INCEPTIONDATE|PRODUCT_ID|CONTRACTING_OFFICE|SOURCING_OFFICE|PRIMARY_TEAM_MEMBER|CONSULTANT|DOMICILE_COUNTRY|SELLING_RULE|FULLNAME_OF_PORTFOLIO_ADMINISTRATOR|GIPS_ENABLE_FLAG|SECURITY_LENDING_FLAG|PRICING_SOURCE|TAX_STATUS|UMBRELLA_ID|FISCAL_YEAR_END|GO_LIVE_DATE|ACCOUNT_TYPE|PERFORMANCE_ADMIN|STAR_ALIAS|INVESTMENT_METHOD|REPLICATION_METHOD|UCITS_COMPLIANT|ISA_ELIGIBLE|UMBRELLA_NAME
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-103KBG7|Open|CAD|CAD|Invesco Core Canadian Balanced Class - HOU|75048001C|0.0000000||Sole||Invesco Core Canadian Balanced Class - HOU|Inst Pooled Participant||||Aim Investments - Houston|Aim Investments|Mutual Fund|20011029|20011030|20011029||Invesco Core Canadian Balanced Class - HOU||||Eagle Star|N|Sole|Canadian Mutual Fund|BBG_TORONTO_CAD|549300UY8S4QIEFEZ884|Offshore Mutual Fund - Taxable|20011029|20011029|1-1NJLO92|Aim Investments - Houston (Aim)|Invesco US WMI (Wealth Mgmt Intermediaries) - ST|Jennifer Corbin||Canada|ProRata - Qty||Y|No|RETAIL_CANADIAN|Taxable|1-5ZEVC1|20181231|20011029|Retail|LVL_Retail CAD|11KB0012XX||||N|AIM Counselor Series Trust - Invesco Counselor Series Trust
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-108RJ1|Closed|USD|USD|Timberline Fasteners|T-35410-87|0.0000000||Sole|SVUS|Timberline Fasteners|Commingled||||Invesco NA - Fixed Inc - Stable Value (Louisville)|Invesco Fixed Income|Collective Account|20100316|20100316|20100316|20160901|Timberline Fasteners|||||N|Sole||||US DC 401K Pension Plan (ERISA)|20100301|20100316|1-57YZ-169|Invesco - National Trust (Atlanta) (IRT)|Invesco US WMI (Wealth Mgmt Intermediaries) - ST|Jerome Nicholson|No Consultant|South Korea|LIFO|||||||20150831|20150415|Institutional|NA_HOU_CT_FUND||||||
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-10ABRF7|Open|JPY|JPY|(Japan Post) Invesco US IG Income Fund Series 3|01CB0334XX|||Sole||(Japan Post) Invesco US IG Income Fund Series 3|Separate||||Invesco NA - Fixed Income (Louisville)|Invesco Fixed Income|Investment Trust|20170519|20170518|20170519||(Japan Post) Invesco US IG Income Fund Series 3||||Portia|N|Sole||BBG_LONDON|5493006AEAI6SROOPL03|Private Label - Non-Taxable|20170316|20170519|1-57YZ-193|Invesco NA - Fixed Income (Louisville) (2ICMB1)|Japan - Financial Institution - ST|Jacky Durbin||Cayman Islands|FIFO||N|No|INST_GC|Non-Taxable||20170930|20170519|Institutional|LVL_Pooled|01CB0334XX||||N|
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-10B4PA|Closed|USD|USD|Koch Industries DB Master Trust|T-35446-160|0.0050000||Discretionary|BALPPCOM|Koch Industries DB Master Trust|Commingled||||Invesco NA - Global Asset Allocation|Invesco Atlanta Investment Center|Collective Account|20100315|20100315|20100315|20111004|Koch Industries DB Master Trust|||||N|None||||US DB Pension Plan (ERISA)|20100315|20100315||Invesco - National Trust (Atlanta) (IRT)|US Institutional Sales and Service - ST|Kathi Brunk|No Consultant|United States|FIFO|||||||20161231||Institutional|||||||
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-10BV8G1|Open|USD|USD|Invesco S&P 500 QVM UCITS ETF|PQVM|||Sole||Invesco S&P 500 QVM UCITS ETF|Retail/Invesco Dist Fund|Any Business Day||T+2|PowerShares – Wheaton|PowerShares|ETF|20170518|20170524|20170524||Invesco S&P 500 QVM UCITS ETF|||||N|Sole|ETF|BBG_LONDON|5493008E2MUZBEELZD60|Offshore Mutual Fund - Taxable|20170518|20170518|1-ZTVNKX|UK  - Invesco Asset Mgmt Ireland Ltd (6IAMIB)|Invesco US WMI (Wealth Mgmt Intermediaries) - ST|Jude Dant||Ireland|FIFO||N|No|INST_GC|Taxable|1-1D9LZDT|20170930|20170524|Retail||||Physical|UCITs V|Y|Invesco Markets III plc
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-10BV8OL|Closed|USD|USD|J.P. Morgan Fixed Income Target Maturity Bond Strategy 2021|APAM-J21|0.0000000||Sole||J.P. Morgan Fixed Income Target Maturity Bond Strategy 2021|||||Invesco NA - Global Asset Allocation|Invesco Atlanta Investment Center|Wrap Account|20170419||20170419|20181127|J.P. Morgan Fixed Income Target Maturity Bond Strategy 2021|||||N|Sole||||Managed Account (Wrap)|20170419|20170419|1-PNYRTD|Aim Investments - Houston (Aim)|Invesco US WMI (Wealth Mgmt Intermediaries) - ST|Vineeth Kakkat||United States|FIFO||N|No||||20151231|20170419|||||||N|
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-10C2IZI|Open|EUR|EUR|The Trustees of Ornua Superannuation Scheme|2159ZZ-33078|||None||The Trustees of Ornua Superannuation Scheme|Inst Pooled Participant||||Invesco UK-IRL - Henley|Invesco|Collective Account|20171207|20171207|20171207||The Trustees of Ornua Superannuation Scheme|||||N|Not Applicable||||NON-US Pension Plan|20171208|20171207|1-5CC2S7|UK  - Invesco GT Management SA (6IGLB)|UK Inst - ST|Jemma Paterson||Ireland|ProRata - Qty||N|No||||20171231|20171207|||||||N|
20200318|ADDENTITY|B|NONE|ACCT|VIADUCT|1-10D188P|Open|EUR|EUR|State Street Bank International GmbH A/C FXD Inc and Alt – G|32740-2159SS|||None||State Street Bank International GmbH A/C FXD Inc and Alt – Global Credit MCHU9S9|Inst Pooled Participant||||Invesco UK-IRL - Henley|Invesco|Collective Account|20170116|20170116|20170116||State Street Bank International GmbH A/C FXD Inc and Alt – Global Credit MCHU9S9|||||N|None||||NON-US Pension Plan|20161103|20170116|1-5CC2S7|UK  - Invesco Asset Management, Ltd. (3C01B)|Germany - Institutional - ST|Michael Smith||Germany|ProRata - Qty||N|No||||20161231|20170116|Institutional||||||N|
endthe file
